reviewId,game_title,score,sentiment_label,content,human_corrected_label
06aaf1bc-e325-487c-b73f-7901d5c4af8b,Mobile_Legends,1,negative,Unfair for credit penalty. I got silver while my team god bronze. And you deduct 12 credit score what kind of investigation is that,negative
e6276a24-fb7d-4e05-81f4-2cb9624977e8,Mobile_Legends,1,negative,MATCH MAKING BUSUK,negative
5ec76259-358c-4d38-b876-44bf839725c2,Wild_Rift,4,positive,"Easiest game of my life filled with a bunch of noobs i can't believe that nobody can even beat me too bad tho but its fun just needs good players i feel like im playing on easy mode with how players play the game specially on Sovereign rank and legendary ranks im hoping that in a couple of years there will be challenging players to play against with, because the players that plays these days are not challenging enough. 4 stars for now Id change it to 5 once there are players on Faker's level",positive
10e5c2ac-528b-407e-9458-dca2eade0f94,Wild_Rift,4,positive,new problem verification error uninstall play again verification error again,positive
820d099a-db10-4eee-a8ea-fc4ebc0eceb8,Mobile_Legends,5,positive,benak game nih,positive
d9e3a7e8-8140-42e7-9283-eb0c48773fef,Mobile_Legends,1,negative,"Match making sucks, I'm tired of playing and wasting my time on this game.",negative
2506d0c0-af8a-424c-a975-dc3878e35f42,Mobile_Legends,1,negative,puro 8080 ang binibigay saakin na kakampi pag solo tas saiba magagaling,negative
6294d4e0-9996-4f61-b83f-615d12e028cb,Mobile_Legends,1,negative,"Mobile Gendong, gendong 4 orang game eneg",negative
11391dd7-4436-4c50-a290-e5a67edbe613,Wild_Rift,5,positive,thank you riot for give a chance anyone to play this game thank you 😭,positive
8175268e-fedf-4a77-86b0-5040dceb7d29,Mobile_Legends,5,positive,The game improve now,positive
96042dd1-5cd4-4162-9b54-cddaf0a64986,Wild_Rift,1,negative,"Diamond player here but would be highest rank easily if game didnt have losers qeue. I went 10/0/15 with malphite and STILL LOSS lol. Then in some matches this game puts you with players so bad in skill difference my whole team will surrender and im playing fine. How is that 50/50? Fix ur trash ranked system, it only makes bad players feel good about themselves while people who are good at your game suffer.",negative
9079cc4e-3b5e-4f82-8ea0-79a1498f053f,Mobile_Legends,1,negative,"tidak direkomendasikan, team tidak seimbang di beberapa tier, banyak dark sistem",negative
dbe03963-4ada-4fb3-a384-59aa53311f3c,Wild_Rift,1,negative,ranked is still not fixed ... high elo playing with afks every game,negative
75d588ae-125b-4520-bc96-38af99d16054,Mobile_Legends,1,negative,running out of players? so you hired an A. I.?,negative
902dbecc-744f-426c-a7dd-23caf511d616,Wild_Rift,1,negative,Matchmaking too bad,negative
5f3c9bb1-dde8-43f7-ac51-43ccdab65f73,Mobile_Legends,5,positive,Lagging .....,positive
0c4f2126-2a4d-458d-a5c7-468c280b07fc,Mobile_Legends,1,negative,king inang laro yan puro bot 500m nag lalaro 450m dun puro AI,negative
62c8ed02-6ac6-4a3d-8d8a-a2e098755fe8,Wild_Rift,1,negative,You guys need to reduce the punishment time Tf You guys want us to do while waiting for Five Minutes People got their own reasons One Minute should be enough Don't be stupid,negative
7446ec5a-0409-4f76-957b-851b62b73393,Mobile_Legends,1,negative,perfect 0 star in mlbb because myanmar sever get elite skin for new year but Thailand sever get summer skin.,negative
f9b46117-c7ab-4055-9210-7fb9ce0f90fa,Mobile_Legends,5,positive,the game is so good and I wish there is a new hero called Xyr us and she's a beast and she will have four powers and the powers are air water and fire and gravitation,positive
53ee7cb6-e57b-4e55-b123-d58d0010b5bd,Mobile_Legends,5,positive,It amazing skin,positive
dea05566-59fc-4cc7-ad78-0a6bbd8fbe8e,Mobile_Legends,5,positive,best game ever,positive
119a033f-a3cd-434f-b2a3-7fb7e4e0bffc,Mobile_Legends,5,positive,this game is amazing,positive
e644f6aa-0d87-40ed-927b-1dbd4935798f,Mobile_Legends,1,negative,poor kagura :(,negative
da2e914f-9e8f-4f0b-a942-d5c474da8980,Mobile_Legends,5,positive,good game all play this everyday,positive
8cb9922c-a2dc-49f8-9295-cb9a32c6204f,Mobile_Legends,2,negative,"Fun when you win, but the game matches you up with incompetent players that you have to Carry on your own. A unreasonable loss for a solo carry roamer, the game designs you to lose if you win consistently and you will have to do a massive carry in the game while your opponents make good hero picks and are skilled in the game.",negative
d59e6ac4-1691-4e1a-9089-bc7cdfbc6746,Mobile_Legends,1,negative,daylight player sucks and not solo player friendly,negative
155611cf-f828-4ea8-baeb-7a811d5a4e8e,Mobile_Legends,1,negative,"i am playing mlbb since 2019 and still giving me errors, so if my weekly diamond pass is still waiting for confirming subscription, it is possible to still have my diamonds even in the days I've missed because of the error of moonton? i just want answer",negative
ee249b39-534d-4d6a-8519-bc50cd7b46d0,Mobile_Legends,1,negative,matchmaking suckk always got useless underage or boy/girl play in game.pls make some filter to your all player .filter all underage kids thats play on ranked match.this game become more suckk better we go to HOK the match making is good no bot in game.,negative
10545a96-3139-4284-bd9e-43696a87889b,Wild_Rift,5,positive,Unable to connect to server. Please try again later!!!!!!!!!!!,positive
5475b4cb-628d-4168-844e-cad8721effa9,Mobile_Legends,1,negative,Fix your MATCHMAKING! Don't PAIR US WITH BOTS! Most plays for more than 3 years now and still stuck on mythic!,negative
0de53994-d5e8-4bd3-b629-682df5117b4c,Wild_Rift,1,negative,After the patch 7.1 the game fails to launch. Even after reinstall. Please fix,negative
593eaa13-9459-4f9d-8e5f-f981c507501d,Mobile_Legends,1,negative,puro dark system binibigay ni moonton na kakampi (not recommended sa taong ayaw ma stress),negative
9ef480e5-2d51-4d81-8219-cae1bf7d6158,Mobile_Legends,1,negative,dont reccoment playing not fun just making yourself mad and players here are very toxic and sometimes swear at you when you make mistakes i rather play HOK beacuse it is much better and it has some nice players,negative
8e4416a8-d82d-4b64-b0c8-34972952d88d,Mobile_Legends,1,negative,"The matchmaking are stressful. Moonton, doesn't give you good players.",negative
d6312bbd-81e5-404f-8df8-31c8c16cf547,Mobile_Legends,1,negative,"I rate this game 1, because this game is too stressful,",negative
3cbccbe6-ce0e-49d2-973b-0e1ed5b95984,Mobile_Legends,5,positive,"agak stress stuck di epik, tapi oke",positive
9feb70b1-12f9-4f9a-83db-7a6ee2de996c,Mobile_Legends,1,negative,"so many botfrag, im tired carrying my teammates 1star matchmaking is so poor",negative
35d9d86c-6653-4d13-ad62-a86b1fea9250,Mobile_Legends,1,negative,"I guess the ones who rate this game 5 stars are bots. Your matchmaking really sucks. Imagine being in Glory, then getting teammates who are only in Legend? Hell nah. Fix your matchmaking.",negative
ceb7d2ca-9260-4fc6-87d3-1fb2b541fc47,Mobile_Legends,1,negative,this game is unfair,negative
52bae1f9-600e-4f0f-ab85-432f1be638ee,Mobile_Legends,1,negative,trash match making,negative
9dae5380-b2fd-43aa-9be9-f1fd130a9d40,Mobile_Legends,1,negative,Lala ng matchmaking nyoo,negative
9e447712-aeb1-4338-bada-b7cf9158ab1b,Mobile_Legends,5,positive,I zeeked this game,positive
f3403979-29cc-4354-b4e0-d79c160139fb,Mobile_Legends,1,negative,kaya ang daming lumilipat ng HOK nakakainis one star nlng pinag dadamot pa ilang years nakong naka stock sa legend damot sa star ehh pag one star nlng bibigyan ka ng palo na kalaban pa ubos ko lng star ko quit nako masyadong malala,negative
042b671e-a81d-492c-ab07-39868206e59f,Mobile_Legends,1,negative,system error,negative
4362e128-2109-4c53-b566-000998e1288b,Wild_Rift,1,negative,i can't login,negative
32379376-6325-4d98-89b6-f79896b7f4e1,Wild_Rift,1,negative,"one star for you as this is getting insane, cant even log in correctly, it keep saying rconnect 3",negative
f3b54846-f026-48f5-8c29-c9dfc417c529,Mobile_Legends,1,negative,dark system parati kinakampi,negative
560981e4-19cf-42e2-a5df-77a102bf1b1c,Mobile_Legends,1,negative,moonton bulok yung match making,negative
